"symbol","date","close"
"MXN=X",2012-08-24,13.1661
"CL=F",2012-08-26,NA
"CL=F",2012-08-27,95.470001
"MXN=X",2012-08-27,13.1893
"CL=F",2012-08-28,96.330002
"MXN=X",2012-08-28,13.1826
"CL=F",2012-08-29,95.489998
"MXN=X",2012-08-29,13.3161
"CL=F",2012-08-30,94.620003
"MXN=X",2012-08-30,13.3428
"CL=F",2012-08-31,96.470001
"MXN=X",2012-08-31,13.187
"CL=F",2012-09-02,NA
"MXN=X",2012-09-03,13.1985
"CL=F",2012-09-04,95.300003
"MXN=X",2012-09-04,13.1729
"CL=F",2012-09-05,95.360001
"MXN=X",2012-09-05,13.1188
"CL=F",2012-09-06,95.529999
"MXN=X",2012-09-06,13.0716
"CL=F",2012-09-07,96.419998
"MXN=X",2012-09-07,12.9739
"CL=F",2012-09-09,NA
"CL=F",2012-09-10,96.540001
"MXN=X",2012-09-10,13.0614
"CL=F",2012-09-11,97.169998
"MXN=X",2012-09-11,12.9844
"CL=F",2012-09-12,97.010002
"MXN=X",2012-09-12,12.9965
"CL=F",2012-09-13,98.309998
"MXN=X",2012-09-13,12.8247
"CL=F",2012-09-14,99
"MXN=X",2012-09-14,12.7063
"CL=F",2012-09-16,NA
"CL=F",2012-09-17,96.620003
"MXN=X",2012-09-17,12.755
"CL=F",2012-09-18,95.290001
"MXN=X",2012-09-18,12.7943
"CL=F",2012-09-19,91.980003
"MXN=X",2012-09-19,12.862
"CL=F",2012-09-20,91.870003
"MXN=X",2012-09-20,12.8655
"CL=F",2012-09-21,92.889999
"MXN=X",2012-09-21,12.8503
"CL=F",2012-09-23,NA
"CL=F",2012-09-24,91.93
"MXN=X",2012-09-24,12.9073
"CL=F",2012-09-25,91.370003
"MXN=X",2012-09-25,12.861
"CL=F",2012-09-26,89.980003
"MXN=X",2012-09-26,12.87
"CL=F",2012-09-27,91.849998
"MXN=X",2012-09-27,12.8256
"CL=F",2012-09-28,92.190002
"MXN=X",2012-09-28,12.862
"CL=F",2012-09-30,NA
"CL=F",2012-10-01,92.480003
"MXN=X",2012-10-01,12.8293
"CL=F",2012-10-02,91.889999
"MXN=X",2012-10-02,12.8555
"CL=F",2012-10-03,88.139999
"MXN=X",2012-10-03,12.8155
"CL=F",2012-10-04,91.709999
"MXN=X",2012-10-04,12.7431
"CL=F",2012-10-05,89.879997
"MXN=X",2012-10-05,12.7881
"CL=F",2012-10-07,NA
"CL=F",2012-10-08,89.330002
"MXN=X",2012-10-08,12.8008
"CL=F",2012-10-09,92.389999
"MXN=X",2012-10-09,12.8624
"CL=F",2012-10-10,91.25
"MXN=X",2012-10-10,12.9924
"CL=F",2012-10-11,92.07
"MXN=X",2012-10-11,12.8981
"CL=F",2012-10-12,91.860001
"MXN=X",2012-10-12,12.8568
"CL=F",2012-10-14,NA
"CL=F",2012-10-15,91.849998
"MXN=X",2012-10-15,12.8159
"CL=F",2012-10-16,92.089996
"MXN=X",2012-10-16,12.8136
"CL=F",2012-10-17,92.120003
"MXN=X",2012-10-17,12.7939
"CL=F",2012-10-18,92.099998
"MXN=X",2012-10-18,12.8301
"CL=F",2012-10-19,90.050003
"MXN=X",2012-10-19,12.8774
"CL=F",2012-10-21,NA
"CL=F",2012-10-22,88.730003
"MXN=X",2012-10-22,12.854
"CL=F",2012-10-23,86.669998
"MXN=X",2012-10-23,12.9691
"CL=F",2012-10-24,85.730003
"MXN=X",2012-10-24,12.9765
"CL=F",2012-10-25,86.050003
"MXN=X",2012-10-25,12.9914
"CL=F",2012-10-26,86.279999
"MXN=X",2012-10-26,12.9886
"CL=F",2012-10-28,NA
"MXN=X",2012-10-29,13.0651
"MXN=X",2012-10-30,13.0646
"CL=F",2012-10-31,86.239998
"MXN=X",2012-10-31,13.0845
"CL=F",2012-11-01,87.089996
"MXN=X",2012-11-01,13
"CL=F",2012-11-02,84.860001
"MXN=X",2012-11-02,13.0243
"CL=F",2012-11-04,NA
"CL=F",2012-11-05,85.650002
"MXN=X",2012-11-05,13.0291
"CL=F",2012-11-06,88.709999
"MXN=X",2012-11-06,12.952
"CL=F",2012-11-07,84.440002
"MXN=X",2012-11-07,13.0591
"CL=F",2012-11-08,85.089996
"MXN=X",2012-11-08,13.158
"CL=F",2012-11-09,86.07
"MXN=X",2012-11-09,13.194
"CL=F",2012-11-11,NA
"CL=F",2012-11-12,85.57
"MXN=X",2012-11-12,13.2203
"CL=F",2012-11-13,85.379997
"MXN=X",2012-11-13,13.2287
"CL=F",2012-11-14,86.32
"MXN=X",2012-11-14,13.2723
"CL=F",2012-11-15,85.449997
"MXN=X",2012-11-15,13.2043
"CL=F",2012-11-16,86.669998
"MXN=X",2012-11-16,13.115
"CL=F",2012-11-18,NA
"CL=F",2012-11-19,89.279999
"MXN=X",2012-11-19,13.0802
"CL=F",2012-11-20,86.75
"MXN=X",2012-11-20,12.9984
"CL=F",2012-11-21,87.379997
"MXN=X",2012-11-21,13.0479
"MXN=X",2012-11-22,13.0295
"CL=F",2012-11-23,NA
"MXN=X",2012-11-23,12.9485
"CL=F",2012-11-25,NA
"CL=F",2012-11-26,87.739998
"MXN=X",2012-11-26,13.0029
"CL=F",2012-11-27,87.18
"MXN=X",2012-11-27,13.0331
"CL=F",2012-11-28,86.489998
"MXN=X",2012-11-28,12.966
"CL=F",2012-11-29,88.07
"MXN=X",2012-11-29,12.9441
"CL=F",2012-11-30,88.910004
"MXN=X",2012-11-30,12.9586
"CL=F",2012-12-02,NA
"CL=F",2012-12-03,89.089996
"MXN=X",2012-12-03,12.9953
"CL=F",2012-12-04,88.5
"MXN=X",2012-12-04,12.9421
"CL=F",2012-12-05,87.879997
"MXN=X",2012-12-05,12.9143
"CL=F",2012-12-06,86.260002
"MXN=X",2012-12-06,12.8689
"CL=F",2012-12-07,85.93
"MXN=X",2012-12-07,12.8443
"CL=F",2012-12-09,NA
"CL=F",2012-12-10,85.559998
"MXN=X",2012-12-10,12.8123
"CL=F",2012-12-11,85.790001
"MXN=X",2012-12-11,12.7285
"CL=F",2012-12-12,86.769997
"MXN=X",2012-12-12,12.7436
"CL=F",2012-12-13,85.889999
"MXN=X",2012-12-13,12.7996
"CL=F",2012-12-14,86.730003
"MXN=X",2012-12-14,12.7397
"CL=F",2012-12-16,NA
"CL=F",2012-12-17,87.199997
"MXN=X",2012-12-17,12.7279
"CL=F",2012-12-18,87.93
"MXN=X",2012-12-18,12.7206
"CL=F",2012-12-19,89.510002
"MXN=X",2012-12-19,12.7748
"CL=F",2012-12-20,90.129997
"MXN=X",2012-12-20,12.7487
"CL=F",2012-12-21,88.660004
"MXN=X",2012-12-21,12.9134
"CL=F",2012-12-23,NA
"CL=F",2012-12-24,NA
"MXN=X",2012-12-24,12.9689
"MXN=X",2012-12-25,12.9841
"CL=F",2012-12-26,90.980003
"MXN=X",2012-12-26,13.0034
"CL=F",2012-12-27,90.870003
"MXN=X",2012-12-27,12.9531
